annee_election;code_commune;bloc_centre;bloc_droite;bloc_droite_radicale;bloc_gauche;bloc_gauche_radicale;bloc_souverainiste_autres
2012;69001;13.302752293577983;31.19266055045872;27.981651376146786;18.34862385321101;2.7522935779816518;6.422018348623854
2012;69002;15.909090909090908;33.52272727272727;34.659090909090914;13.068181818181818;1.7045454545454544;1.1363636363636365
2012;69003;10.567210567210568;35.81973581973582;16.783216783216783;33.022533022533025;1.6317016317016315;2.1756021756021755
2012;69004;9.749303621169917;31.75487465181058;22.284122562674096;30.919220055710305;2.2284122562674096;3.064066852367688
2012;69005;6.865671641791045;35.223880597014926;31.94029850746269;21.492537313432834;0.8955223880597015;3.582089552238806
2012;69006;11.3612746795982;29.754069968825767;24.073432629026673;30.27364045722203;2.009005888465535;2.5285763768617944
2012;69007;10.346964064436182;31.474597273853778;23.79182156133829;30.297397769516728;1.3630731102850062;2.7261462205700124
2012;69008;11.704834605597965;35.6234096692112;19.083969465648856;31.043256997455472;0.5089058524173028;2.035623409669211
2012;69009;10.88757396449704;31.568047337278106;16.923076923076923;37.15976331360947;1.242603550295858;2.2189349112426036
2012;69010;12.664315485732608;24.943892273164476;15.293363257454311;43.02661109329913;1.2504007694773966;2.8214171208720744
2012;69012;9.701492537313433;34.32835820895522;19.154228855721392;32.08955223880597;0.9950248756218906;3.731343283582089
2012;69013;10.914603335017686;33.046993431025776;22.536634663971704;30.77311773623042;1.0611419909044972;1.667508842849924
2012;69014;13.670133729569093;29.271916790490344;17.682020802377416;32.986627043090635;2.2288261515601784;4.160475482912332
2012;69015;10.714285714285714;36.904761904761905;11.904761904761903;34.523809523809526;3.571428571428571;2.380952380952381
2012;69016;20.388349514563107;41.74757281553398;20.388349514563107;14.563106796116504;0.9708737864077669;1.9417475728155338
2012;69017;8.050847457627118;27.54237288135593;21.610169491525426;38.983050847457626;1.9067796610169492;1.9067796610169492
2012;69018;9.799789251844047;35.51106427818757;23.28767123287671;26.55426765015806;1.7913593256059008;3.0558482613277134
2012;69019;9.306987399770906;29.266895761741125;22.995418098510882;34.47880870561283;2.004581901489118;1.9473081328751431
2012;69020;12.128712871287128;26.237623762376238;18.81188118811881;38.86138613861386;1.2376237623762376;2.722772277227723
2012;69021;11.645379413974455;30.277986476333584;16.528925619834713;36.96468820435763;1.8782870022539442;2.70473328324568
2012;69022;12.5;37.83783783783784;18.58108108108108;26.68918918918919;2.027027027027027;2.364864864864865
2012;69023;12.616822429906541;38.31775700934579;26.635514018691588;19.39252336448598;1.1682242990654206;1.8691588785046727
2012;69024;11.90644932671864;32.03401842664777;16.017009213323885;36.28632175761871;1.4174344436569808;2.3387668320340187
2012;69025;10.3397341211226;27.326440177252586;23.63367799113737;34.34268833087149;1.7725258493353029;2.58493353028065
2012;69026;16.176470588235293;36.029411764705884;19.485294117647058;23.897058823529413;1.8382352941176472;2.5735294117647056
2012;69027;12.051822838204277;31.60590539319072;14.05543838505574;38.35492618258512;1.4914130762277793;2.4404941247363663
2012;69028;12.853841709994224;36.48180242634315;16.175621028307337;30.791450028885038;1.3287117273252456;2.368573079145003
2012;69029;9.423307284239348;26.393246249500883;15.657977297358963;45.314015173121895;1.2948491244081912;1.9166048713707147
2012;69030;10.305343511450381;38.3587786259542;18.3206106870229;28.435114503816795;1.5267175572519083;3.0534351145038165
2012;69031;12.425149700598801;29.191616766467064;22.15568862275449;30.988023952095805;2.095808383233533;3.143712574850299
2012;69032;11.22778675282714;35.70274636510501;19.789983844911145;30.61389337641357;0.8885298869143781;1.7770597738287561
2012;69033;11.6729088639201;42.50936329588015;13.420724094881397;29.837702871410738;0.6242197253433208;1.9350811485642945
2012;69034;11.279872999528038;36.727163513107655;11.271291886557687;37.77405929549062;1.081220234264384;1.8663920710516153
2012;69035;17.073170731707318;27.64227642276423;17.073170731707318;34.552845528455286;1.6260162601626018;2.0325203252032518
2012;69036;10.110584518167457;29.067930489731435;28.12006319115324;28.593996840442337;2.211690363349131;1.8957345971563981
2012;69037;10.893246187363834;29.193899782135073;23.093681917211327;31.590413943355124;2.3965141612200433;2.832244008714597
2012;69038;9.861932938856016;32.544378698224854;21.893491124260358;29.78303747534517;2.1696252465483234;3.7475345167652856
2012;69039;13.138686131386862;31.143552311435524;18.004866180048662;34.54987834549878;1.2165450121654502;1.9464720194647203
2012;69040;10.546378653113088;41.26429479034307;14.612452350698856;30.1143583227446;1.1118170266836087;2.3506988564167726
2012;69041;8.484848484848486;32.121212121212125;30.909090909090907;25.454545454545453;0.0;3.0303030303030303
2012;69042;12.154696132596685;35.0828729281768;20.718232044198896;26.795580110497237;1.3812154696132597;3.867403314917127
2012;69043;13.146176185866409;37.986447241045504;11.539206195546951;34.24975798644724;0.85188770571152;2.2265246853823815
2012;69044;10.49806143751864;56.36743215031316;9.245451834178347;21.32418729495974;0.44736057262153295;2.1175067104085894
2012;69045;9.193776520509193;32.814710042432814;25.601131541725604;29.13719943422914;0.5657708628005658;2.6874115983026874
2012;69046;13.055003313452618;39.99337309476474;12.65738899933731;31.312127236580515;0.5964214711729622;2.3856858846918487
2012;69047;13.299663299663301;34.68013468013468;15.824915824915825;33.670033670033675;0.5050505050505051;2.0202020202020203
2012;69048;9.511568123393316;28.406169665809767;21.85089974293059;36.50385604113111;1.1568123393316194;2.570694087403599
2012;69049;12.238979118329468;42.86542923433875;12.935034802784223;29.23433874709977;0.7540603248259861;1.9721577726218096
2012;69050;10.567210567210568;32.556332556332556;16.783216783216783;34.80963480963481;1.8648018648018647;3.418803418803419
2012;69051;13.16931982633864;29.088277858176554;16.063675832127352;37.04775687409551;2.170767004341534;2.460202604920405
2012;69052;11.859838274932615;37.46630727762803;13.785136696187909;33.269156719291495;1.1936850211782826;2.4258760107816713
2012;69053;14.02439024390244;30.182926829268293;19.51219512195122;32.926829268292686;0.9146341463414633;2.4390243902439024
2012;69054;12.184873949579831;38.655462184873954;23.52941176470588;22.268907563025213;1.2605042016806722;2.100840336134454
2012;69055;11.889862327909889;38.04755944931164;20.90112640801001;25.406758448060074;1.0012515644555695;2.753441802252816
2012;69056;10.675808031341822;31.537708129285015;17.92360430950049;35.25954946131244;1.4691478942213516;3.1341821743388834
2012;69057;10.451977401129943;33.89830508474576;15.819209039548024;36.72316384180791;1.4124293785310735;1.694915254237288
2012;69058;11.328125;33.59375;15.625;33.59375;2.734375;3.125
2012;69059;12.729357798165136;38.646788990825684;16.743119266055047;27.866972477064223;1.261467889908257;2.7522935779816518
2012;69060;11.219512195121952;35.36585365853659;24.634146341463413;24.878048780487806;2.4390243902439024;1.4634146341463417
2012;69061;8.050847457627118;38.559322033898304;20.62146892655367;29.09604519774011;0.7062146892655368;2.9661016949152543
2012;69062;18.687872763419485;34.39363817097416;16.10337972166998;25.24850894632207;1.9880715705765408;3.5785288270377733
2012;69063;12.678855325914148;50.794912559618446;9.10174880763116;24.80127186009539;0.6756756756756757;1.9475357710651828
2012;69064;8.944628490298154;27.543776620918127;16.043539990534786;43.587316611452906;1.8457169900615238;2.0350212967345005
2012;69065;8.461538461538462;30.384615384615383;33.26923076923077;23.46153846153846;1.9230769230769231;2.5
2012;69066;9.567496723460026;29.838357361293138;23.46002621231979;31.804281345565748;2.0969855832241153;3.2328527741371778
2012;69067;12.005457025920874;33.83356070941337;21.00954979536153;28.922237380627557;1.9099590723055935;2.3192360163710775
2012;69068;9.784172661870503;31.58273381294964;14.172661870503598;41.58273381294964;1.3669064748201438;1.5107913669064748
2012;69069;12.463718627283592;34.71060269762677;14.700358545330374;34.130100734164245;1.1951511012463718;2.800068294348643
