annee;code_commune;nom_commune;nb_menages_fiscaux;nb_personnes_menages_fiscaux;revenu_median
2012;69121;Lozanne;1018.0;2546.5;22121.1
2012;69122;Lucenay;657.0;1810.0;25602.6
2012;69123;Lyon;221187.0;451604.5;21659.6
2012;69124;Marchampt;197.0;437.0;18767.0
2012;69125;Marcilly-d'Azergues;337.0;867.5;27622.0
2012;69126;Marcy;249.0;679.0;28079.3
2012;69127;Marcy-l'Étoile;1108.0;3126.5;26472.7
2012;69130;Meaux-la-Montagne;83.0;207.0;18701.3
2012;69131;Messimy;1271.0;3416.5;23602.8
2012;69132;Meys;302.0;810.0;18976.1
2012;69133;Millery;1434.0;3752.0;26567.3
2012;69134;Moiré;82.0;208.5;22840.7
2012;69135;Monsols;355.0;850.5;18554.0
2012;69136;Montagny;1003.0;2711.5;24701.9
2012;69137;Montmelas-Saint-Sorlin;154.0;384.0;22951.9
2012;69138;Montromant;163.0;449.5;18746.0
2012;69139;Montrottier;596.0;1431.5;19404.0
2012;69140;Morancé;745.0;2033.5;26062.0
2012;69141;Mornant;2190.0;5535.0;23531.0
2012;69142;La Mulatière;3037.0;6418.5;19888.7
2012;69143;Neuville-sur-Saône;3238.0;7128.0;19174.3
2012;69145;Odenas;344.0;874.0;20750.2
2012;69146;Oingt;259.0;684.0;24729.0
2012;69147;Les Olmes;304.0;805.0;22512.0
2012;69148;Orliénas;881.0;2389.5;25124.4
2012;69149;Oullins;12020.0;25932.5;20093.0
2012;69150;Ouroux;148.0;329.0;16400.0
2012;69151;Le Perréon;542.0;1462.5;20800.4
2012;69152;Pierre-Bénite;3986.0;10136.0;18110.5
2012;69153;Poleymieux-au-Mont-d'Or;370.0;1032.0;31110.0
2012;69154;Pollionnay;754.0;2011.0;25986.8
2012;69155;Pomeys;401.0;1142.0;21737.6
2012;69156;Pommiers;912.0;2520.5;26282.7
2012;69157;Pontcharra-sur-Turdine;1054.0;2631.5;20447.3
2012;69158;Pont-Trambouze;219.0;460.5;17884.0
2012;69159;Pouilly-le-Monial;360.0;968.5;23472.7
2012;69160;Poule-les-Écharmeaux;445.0;1075.5;19266.2
2012;69161;Propières;211.0;449.5;16450.0
2012;69162;Quincié-en-Beaujolais;501.0;1217.0;20360.4
2012;69163;Quincieux;1191.0;3253.0;22538.7
2012;69164;Ranchal;139.0;319.0;19212.3
2012;69165;Régnié-Durette;400.0;1065.5;20980.5
2012;69166;Riverie;101.0;251.5;23443.9
2012;69167;Rivolet;212.0;580.5;21397.1
2012;69168;Rochetaillée-sur-Saône;539.0;1452.5;24671.3
2012;69169;Ronno;250.0;636.0;20439.4
2012;69170;Rontalon;425.0;1166.5;20919.5
2012;69171;Sain-Bel;949.0;2318.5;21179.3
2012;69172;Salles-Arbuissonnas-en-Beaujolais;290.0;813.5;21379.0
2012;69173;Sarcey;373.0;980.0;22356.0
2012;69174;Les Sauvages;217.0;590.5;19336.2
2012;69175;Savigny;763.0;2056.0;21955.2
2012;69176;Soucieu-en-Jarrest;1492.0;3995.0;23825.4
2012;69177;Sourcieux-les-Mines;750.0;2052.0;24147.1
2012;69178;Souzy;279.0;743.0;20531.8
2012;69179;Saint-Andéol-le-Château;637.0;1661.0;23576.7
2012;69180;Saint-André-la-Côte;100.0;284.0;21635.7
2012;69181;Saint-Appolinaire;69.0;167.0;20920.7
2012;69182;Saint-Bonnet-des-Bruyères;172.0;356.0;17491.1
2012;69183;Saint-Bonnet-le-Troncy;129.0;293.0;19737.5
2012;69184;Sainte-Catherine;367.0;927.5;21666.9
2012;69185;Saint-Christophe;103.0;226.5;15032.0
2012;69186;Saint-Clément-de-Vers;86.0;208.0;17521.0
2012;69187;Saint-Clément-les-Places;253.0;657.5;19098.0
2012;69188;Saint-Clément-sur-Valsonne;290.0;789.0;19621.7
2012;69189;Sainte-Colombe;848.0;1798.0;20562.2
2012;69190;Sainte-Consorce;698.0;1960.5;27413.3
2012;69191;Saint-Cyr-au-Mont-d'Or;2042.0;5497.5;36023.3
2012;69192;Saint-Cyr-le-Chatoux;49.0;135.0;23340.0
2012;69193;Saint-Cyr-sur-le-Rhône;449.0;1275.0;26685.5
2012;69194;Saint-Didier-au-Mont-d'Or;2444.0;6528.5;37413.0
2012;69195;Saint-Didier-sous-Riverie;448.0;1190.0;20952.9
2012;69196;Saint-Didier-sur-Beaujeu;235.0;615.5;20215.2
2012;69197;Saint-Étienne-des-Oullières;725.0;1944.5;21508.9
2012;69198;Saint-Étienne-la-Varenne;272.0;710.0;22285.6
2012;69199;Saint-Fons;6761.0;17369.5;14955.2
2012;69200;Saint-Forgeux;589.0;1517.5;20859.4
2012;69201;Sainte-Foy-l'Argentière;615.0;1227.5;18199.0
2012;69202;Sainte-Foy-lès-Lyon;9252.0;21734.0;25372.0
2012;69203;Saint-Genis-l'Argentière;398.0;1038.0;19925.0
2012;69204;Saint-Genis-Laval;8474.0;20706.0;23835.0
2012;69205;Saint-Genis-les-Ollières;1807.0;4732.5;26716.0
2012;69206;Saint-Georges-de-Reneins;1660.0;4218.0;21375.0
2012;69207;Saint-Germain-au-Mont-d'Or;1140.0;2936.0;22285.8
2012;69208;Saint-Germain-Nuelles;782.0;2200.5;25276.0
2012;69209;Saint-Igny-de-Vers;237.0;497.5;19091.7
2012;69210;Saint-Jacques-des-Arrêts;50.0;99.0;18336.0
2012;69211;Saint-Jean-d'Ardières;1426.0;3897.5;20143.3
2012;69212;Saint-Jean-des-Vignes;151.0;395.5;24336.8
2012;69213;Saint-Jean-de-Touslas;319.0;835.0;22798.7
2012;69214;Saint-Jean-la-Bussière;444.0;1180.5;19456.2
2012;69215;Saint-Julien;316.0;841.0;23069.3
2012;69216;Saint-Julien-sur-Bibost;235.0;556.5;20447.9
2012;69217;Saint-Just-d'Avray;320.0;804.5;19378.0
2012;69218;Saint-Lager;372.0;949.5;19471.2
2012;69219;Saint-Laurent-d'Agny;786.0;2121.0;25712.8
2012;69220;Saint-Laurent-de-Chamousset;744.0;1730.0;19792.5
2012;69221;Saint-Laurent-de-Vaux;88.0;260.0;23477.4
2012;69222;Saint-Laurent-d'Oingt;336.0;874.5;21782.5
2012;69223;Saint-Loup;386.0;1035.0;21929.5
2012;69225;Saint-Marcel-l'Éclairé;208.0;510.5;21483.3
2012;69227;Saint-Martin-en-Haut;1496.0;3777.0;20146.3
2012;69228;Saint-Maurice-sur-Dargoire;867.0;2279.5;22083.8
2012;69229;Saint-Nizier-d'Azergues;307.0;778.5;20126.7
2012;69230;Sainte-Paule;121.0;327.0;17938.9
2012;69231;Saint-Pierre-la-Palud;1033.0;2704.0;23283.5
2012;69233;Saint-Romain-au-Mont-d'Or;426.0;1122.0;29205.0
2012;69234;Saint-Romain-de-Popey;595.0;1506.0;20924.5
2012;69235;Saint-Romain-en-Gal;729.0;1702.0;21940.0
2012;69236;Saint-Romain-en-Gier;199.0;491.0;20347.4
2012;69237;Saint-Sorlin;214.0;603.0;25212.4
2012;69238;Saint-Symphorien-sur-Coise;1516.0;3364.5;18701.3
2012;69239;Saint-Vérand;456.0;1169.0;21498.0
2012;69240;Saint-Vincent-de-Reins;289.0;659.0;18435.0
2012;69241;Taluyers;872.0;2340.0;24696.7
2012;69242;Taponas;326.0;948.5;19709.0
2012;69243;Tarare;4615.0;10376.5;16869.3
2012;69244;Tassin-la-Demi-Lune;9129.0;20333.0;24735.2
2012;69245;Ternand;270.0;691.0;22199.1
2012;69246;Theizé;435.0;1121.5;23885.6
2012;69247;Thel;130.0;319.0;20506.2
2012;69248;Thizy-les-Bourgs;2535.0;5880.5;18416.7
2012;69249;Thurins;1129.0;3012.0;22244.8
2012;69250;La Tour-de-Salvagny;1584.0;3973.0;28912.0
2012;69251;Trades;48.0;101.0;18448.0
2012;69252;Trèves;246.0;684.5;21456.7
2012;69253;Tupin-et-Semons;231.0;618.0;24401.3
2012;69254;Valsonne;335.0;858.5;17989.2
2012;69255;Vaugneray;1859.0;4781.0;24081.2
2012;69256;Vaulx-en-Velin;15917.0;44528.5;14571.4
2012;69257;Vaux-en-Beaujolais;389.0;1043.5;20581.0
2012;69258;Vauxrenard;129.0;311.5;18628.0
2012;69259;Vénissieux;22915.0;60202.5;15483.8
2012;69260;Vernaison;1574.0;4318.5;23696.8
2012;69263;Villechenève;323.0;862.0;19126.7
2012;69264;Villefranche-sur-Saône;16017.0;34735.0;17046.5
2012;69265;Ville-sur-Jarnioux;309.0;791.5;25017.6
2012;69266;Villeurbanne;64372.0;139440.0;18670.0
2012;69267;Villié-Morgon;778.0;1999.5;20540.0
2012;69268;Vourles;1218.0;3330.5;27991.0
2012;69269;Yzeron;371.0;995.5;20642.0
2012;69270;Chaponnay;1462.0;3898.5;26636.3
2012;69271;Chassieu;3724.0;9932.5;25498.7
2012;69272;Communay;1521.0;4218.0;25458.8
2012;69273;Corbas;3837.0;10238.5;22047.0
2012;69275;Décines-Charpieu;10805.0;26408.0;19205.6
2012;69276;Feyzin;3423.0;9274.0;19946.0
2012;69277;Genas;4651.0;12775.0;26750.0
2012;69278;Genay;2027.0;5379.5;22413.0
2012;69279;Jonage;2019.0;5786.5;23875.2
2012;69280;Jons;435.0;1267.0;22744.2
2012;69281;Marennes;577.0;1558.5;26150.0
2012;69282;Meyzieu;11627.0;31046.5;20530.0
2012;69283;Mions;4418.0;12376.5;22431.5
2012;69284;Montanay;1029.0;2979.0;28766.0
2012;69285;Pusignan;1343.0;3777.0;22484.0
2012;69286;Rillieux-la-Pape;11426.0;29871.0;17393.6
2012;69287;Saint-Bonnet-de-Mure;2434.0;6678.5;25054.0
2012;69288;Saint-Laurent-de-Mure;2039.0;5397.5;23579.1
2012;69289;Saint-Pierre-de-Chandieu;1705.0;4613.0;24412.2
2012;69290;Saint-Priest;16923.0;43377.5;18580.5
2012;69291;Saint-Symphorien-d'Ozon;2135.0;5307.0;22806.0
2012;69292;Sathonay-Camp;2072.0;4751.5;20617.3
2012;69293;Sathonay-Village;794.0;2271.0;28289.6
