annee;code_commune;nom_commune;taux_chomage
2011;69142;La Mulatière;13.4036562204471
2011;69143;Neuville-sur-Saône;12.3453152622275
2011;69145;Odenas;3.76884422110553
2011;69148;Orliénas;6.87285223367697
2011;69149;Oullins-Pierre-Bénite;11.4822240533513
2011;69151;Le Perréon;5.09193776520509
2011;69153;Poleymieux-au-Mont-d'Or;4.25392496357187
2011;69154;Pollionnay;6.39399860661283
2011;69155;Pomeys;3.690036900369
2011;69156;Pommiers;5.22317188983856
2011;69157;Vindry-sur-Turdine;5.97987177441646
2011;69160;Poule-les-Écharmeaux;7.12830957230142
2011;69161;Propières;4.6875
2011;69162;Quincié-en-Beaujolais;6.89127105666157
2011;69163;Quincieux;6.82776878177657
2011;69164;Ranchal;8.46153846153846
2011;69165;Régnié-Durette;4.61811722912966
2011;69166;Riverie;6.61764705882353
2011;69167;Rivolet;6.29139072847682
2011;69168;Rochetaillée-sur-Saône;10.0529100529101
2011;69169;Ronno;7.09677419354839
2011;69170;Rontalon;4.26540284360189
2011;69171;Sain-Bel;7.79777206512425
2011;69172;Salles-Arbuissonnas-en-Beaujolais;8.04597701149425
2011;69173;Sarcey;5.93220338983051
2011;69174;Les Sauvages;7.9847300990034
2011;69175;Savigny;4.98442367601246
2011;69176;Soucieu-en-Jarrest;5.64220183486239
2011;69177;Sourcieux-les-Mines;5.78541527838981
2011;69178;Souzy;4.8780487804878
2011;69179;Beauvallon;4.86154302974546
2011;69180;Saint-André-la-Côte;2.5974025974026
2011;69181;Saint-Appolinaire;7.2289156626506
2011;69182;Saint-Bonnet-des-Bruyères;3.38983050847458
2011;69183;Saint-Bonnet-le-Troncy;6.71641791044776
2011;69184;Sainte-Catherine;4.52586206896552
2011;69186;Saint-Clément-de-Vers;3.92156862745098
2011;69187;Saint-Clément-les-Places;7.36196319018405
2011;69188;Saint-Clément-sur-Valsonne;5.07462686567164
2011;69189;Sainte-Colombe;9.76593081125087
2011;69190;Sainte-Consorce;5.57618494508572
2011;69191;Saint-Cyr-au-Mont-d'Or;7.99983403942797
2011;69192;Saint-Cyr-le-Chatoux;14.9253731343284
2011;69193;Saint-Cyr-sur-le-Rhône;4.02010050251256
2011;69194;Saint-Didier-au-Mont-d'Or;7.60542168674699
2011;69196;Saint-Didier-sur-Beaujeu;6.6006600660066
2011;69197;Saint-Étienne-des-Oullières;4.91452991452991
2011;69198;Saint-Étienne-la-Varenne;5.44041450777202
2011;69199;Saint-Fons;21.1139738198546
2011;69200;Saint-Forgeux;5.89812332439678
2011;69201;Sainte-Foy-l'Argentière;9.34744268077602
2011;69202;Sainte-Foy-lès-Lyon;8.83135873912309
