CODGEO;LIBGEO;NBMEN21;NBPERS21;NBUC21;PMIMP21;Q121;Q221;Q321;Q3_Q1;D121;D221;D321;D421;D621;D721;D821;D921;RD;S80S2021;GI21;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PAUT21
21606;Ladoix-Serrigny;731;1817;1219,2;s;s;27110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21607;Seurre;1106;2082;1540,3;43,0;13780;19700;26730;12950;8570;12230;15080;17370;22590;25270;28410;34030;4,0;5,5;0,311;54,9;48,7;1,9;4,3;41,5;3,6
21608;Sincey-lès-Rouvray;50;98;71,4;s;s;23420;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21609;Soirans;193;497;327,2;s;s;24660;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21610;Soissons-sur-Nacey;129;347;223,7;s;s;22670;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21611;Sombernon;389;887;607,6;s;s;24030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21612;Souhey;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21613;Soussey-sur-Brionne;74;175;120,1;s;s;23090;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21614;Spoy;143;388;250,8;s;s;27690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21615;Sussey;115;229;165,9;s;s;20580;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21616;Tailly;90;203;140,3;s;s;31560;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21617;Talant;5217;10814;7683,0;55,0;14030;23870;35790;21770;6360;11460;16290;20230;27600;32890;39140;51290;8,1;11,8;0,410;57,1;49,4;2,3;5,4;36,0;6,9
21618;Talmay;242;541;375,2;s;s;21420;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21619;Tanay;95;226;151,1;s;s;24220;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21620;Tarsul;79;181;123,7;s;s;26090;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21622;Tart-le-Bas;96;248;164,4;s;s;25150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21623;Tart;574;1571;1012,0;s;s;26390;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21624;Tellecey;52;147;93,0;s;s;22860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21625;Ternant;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21626;Terrefondrée;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21627;Thenissey;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21628;Thoires;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21629;Thoisy-la-Berchère;137;291;204,8;s;s;22160;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21630;Thoisy-le-Désert;90;222;146,9;s;s;24100;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21631;Thomirey;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21632;Thorey-en-Plaine;444;1171;761,0;s;s;26860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21633;Thorey-sous-Charny;97;186;137,6;s;s;21290;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21634;Thorey-sur-Ouche;70;127;94,1;s;s;23070;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21635;Thoste;57;113;83,4;s;s;20370;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21636;Thury;124;249;180,1;s;s;21740;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21637;Tichey;86;207;138,6;s;s;21650;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21638;Til-Châtel;418;1072;700,2;s;s;25290;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21639;Tillenay;282;721;476,4;s;s;23260;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21640;Torcy-et-Pouligny;87;207;138,2;s;s;21890;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21641;Touillon;203;504;336,6;s;s;23520;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21642;Toutry;207;407;295,9;s;s;20860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21643;Tréclun;167;450;292,1;s;s;25440;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21644;Trochères;66;170;111,8;s;s;25870;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21645;Trouhans;249;607;406,9;s;s;22180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21646;Trouhaut;60;128;91,2;s;s;22540;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21647;Trugny;56;121;85,9;s;s;25170;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21648;Turcey;86;186;129,5;s;s;23260;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21649;Uncey-le-Franc;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21650;Urcy;63;144;100,3;s;s;25790;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21651;Val-Suzon;91;213;145,0;s;s;23870;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21652;Vandenesse-en-Auxois;130;286;197,9;s;s;24110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21653;Vannaire;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21655;Vanvey;116;247;174,7;s;s;17400;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21656;Varanges;276;693;463,1;s;s;27080;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21657;Varois-et-Chaignot;840;2108;1407,7;77,0;24250;31370;41260;17020;19030;22940;25580;28570;34460;38840;45200;57680;3,0;3,9;0,278;64,2;56,7;1,4;6,1;29,8;6,0
21659;Vaux-Saules;77;170;119,1;s;s;23010;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21660;Veilly;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21661;Velars-sur-Ouche;730;1719;1173,3;s;s;28300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21662;Velogny;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21663;Venarey-les-Laumes;1445;2813;2045,8;44,0;13130;19570;25910;12770;5750;11050;14740;17460;21610;24270;27590;33290;5,8;6,7;0,311;59,3;53,9;2,7;2,7;37,7;3,0
21664;Verdonnet;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21665;Vernois-lès-Vesvres;61;148;98,8;s;s;20890;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21666;Vernot;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21667;Véronnes;140;345;233,3;s;s;25690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21669;Verrey-sous-Drée;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21670;Verrey-sous-Salmaise;133;291;202,6;s;s;20860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21671;Vertault;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21672;Vesvres;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21673;Veuvey-sur-Ouche;92;197;138,7;s;s;23030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21674;Veuxhaulles-sur-Aube;109;225;161,0;s;s;20750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21675;Vianges;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21676;Vic-de-Chassenay;100;225;155,9;s;s;25180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21677;Vic-des-Prés;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21678;Vic-sous-Thil;92;168;129,1;s;s;25110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21679;Vieilmoulin;60;147;99,4;s;s;22620;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21680;Vielverge;211;501;341,4;s;s;23300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21681;Vieux-Château;46;101;70,0;s;s;22910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21682;Viévigne;90;222;147,5;s;s;26580;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21683;Viévy;168;371;256,5;s;s;18860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21684;Vignoles;342;903;596,3;s;s;28410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21685;Villaines-en-Duesmois;122;245;176,9;s;s;21930;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21686;Villaines-les-Prévôtes;66;133;96,9;s;s;28360;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21687;Villargoix;69;147;104,3;s;s;21540;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21688;Villars-Fontaine;52;127;85,8;s;s;31350;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21689;Villars-et-Villenotte;70;178;119,2;s;s;32020;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21690;Villeberny;46;105;71,1;s;s;19790;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21691;Villebichot;148;402;261,3;s;s;27520;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21692;Villecomte;100;257;170,2;s;s;27200;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21693;Villedieu;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21694;Villeferry;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21695;La Villeneuve-les-Convers;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21696;Villeneuve-sous-Charigny;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21698;Villers-la-Faye;180;429;291,1;s;s;25900;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21699;Villers-les-Pots;463;1193;782,6;s;s;23860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21700;Villers-Patras;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21701;Villers-Rotin;57;130;90,4;s;s;22640;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21702;Villey-sur-Tille;122;290;195,4;s;s;26210;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21703;Villiers-en-Morvan;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21704;Villiers-le-Duc;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21705;Villotte-Saint-Seine;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21706;Villotte-sur-Ource;56;106;78,8;s;s;21210;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21707;Villy-en-Auxois;117;206;156,0;s;s;19650;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21708;Villy-le-Moutier;134;342;228,0;s;s;26330;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21709;Viserny;81;176;123,0;s;s;23410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21710;Vitteaux;425;809;596,1;s;s;20290;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21711;Vix;49;107;75,2;s;s;21460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21712;Volnay;104;221;159,0;s;s;37480;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21713;Vonges;146;339;231,1;s;s;23290;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21714;Vosne-Romanée;154;329;232,6;s;s;32910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21715;Voudenay;88;171;125,3;s;s;20350;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21716;Vougeot;73;161;113,4;s;s;29160;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
21717;Voulaines-les-Templiers;125;254;182,5;s;s;18060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22001;Allineuc;231;570;379,3;s;s;21360;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22002;Andel;464;1163;769,6;s;s;24680;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22003;Aucaleuc;395;991;657,9;s;s;22150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22004;Bégard;2187;4672;3286,4;48,0;15780;21490;27790;12010;10160;14310;16910;19250;23790;26460;29670;35010;3,4;4,4;0,264;58,4;52,2;2,4;3,8;38,5;3,1
22005;Belle-Isle-en-Terre;494;936;690,4;s;s;19250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22006;Berhet;102;265;170,4;s;s;18220;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22008;Bobital;488;1221;814,3;s;s;23480;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22009;Le Bodéo;84;178;124,9;s;s;19920;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22011;Boqueho;415;1047;687,7;s;s;21780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22012;La Bouillie;386;872;604,7;s;s;21740;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22013;Bourbriac;1031;2143;1530,6;44,0;14850;20930;27170;12330;9230;13480;15950;18450;23320;25520;29350;34980;3,8;4,9;0,291;59,5;45,9;2,8;10,8;34,8;5,7
22014;Bourseul;479;1205;796,7;s;s;20720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22015;Bréhand;684;1646;1107,8;s;s;22440;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22016;Île-de-Bréhat;178;339;251,7;s;s;25630;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22018;Brélidy;153;340;235,7;s;s;20430;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22019;Bringolo;192;492;317,8;s;s;22060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22020;Broons;1229;2730;1900,5;45,0;15490;21680;28870;13390;10080;14070;16950;19190;24090;27030;31150;37590;3,7;4,7;0,288;61,8;54,8;1,9;5,1;32,3;5,9
22021;Brusvily;522;1217;826,7;s;s;21560;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22023;Bulat-Pestivien;185;389;278,2;s;s;19930;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22024;Calanhel;108;209;152,9;s;s;16550;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22025;Callac;1100;2038;1529,3;38,0;12940;18920;25500;12560;5800;11420;14440;16610;21370;23940;27510;33710;5,8;7,6;0,333;44,7;36,2;2,4;6,1;49,3;6,0
22026;Calorguen;308;749;500,7;s;s;21510;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22027;Le Cambout;206;420;303,9;s;s;19380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22028;Camlez;377;900;609,6;s;s;22060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22029;Canihuel;170;346;249,9;s;s;19680;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22030;Caouënnec-Lanvézéac;360;877;588,3;s;s;22670;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22031;Carnoët;309;600;440,1;s;s;17390;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22032;Caulnes;1131;2453;1712,5;44,0;16040;21460;27430;11390;11560;14480;16980;19520;23440;26070;29380;36190;3,1;4,1;0,262;63,5;55,2;2,5;5,8;32,4;4,1
22033;Caurel;197;384;279,9;s;s;20360;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22034;Cavan;658;1543;1046,6;s;s;22400;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22035;Les Champs-Géraux;454;1062;726,3;s;s;21530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22036;La Chapelle-Blanche;77;205;134,8;s;s;22990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22037;La Chapelle-Neuve;168;324;237,2;s;s;16920;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22039;La Chèze;286;555;406,2;s;s;19230;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22040;Coadout;236;537;371,5;s;s;20780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22041;Coatascorn;109;273;180,7;s;s;18940;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22042;Coatréven;214;481;332,2;s;s;22250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22043;Coëtlogon;115;237;170,8;s;s;20190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22044;Coëtmieux;708;1854;1211,2;s;s;24710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22045;Cohiniac;172;376;261,8;s;s;23830;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22046;Le Mené;2839;6442;4419,3;45,0;14970;20640;26820;11850;9470;13530;16240;18620;22950;25320;28550;33940;3,6;5,2;0,305;60,1;51,0;2,7;6,4;31,0;8,9
22047;Corlay;446;856;631,5;s;s;20250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22048;Corseul;1007;2237;1552,9;50,0;16600;22610;29210;12600;11590;15290;17630;20240;24820;27610;31260;38510;3,3;4,2;0,277;63,5;53,2;3,1;7,2;30,7;5,8
22049;Créhen;727;1593;1119,8;s;s;22030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22050;Dinan;7340;13652;10167,4;49,0;14930;23240;32740;17810;7130;12600;16710;20110;26700;30360;36090;46470;6,5;8,6;0,367;57,7;49,5;3,1;5,1;35,5;6,8
22052;Duault;167;357;250,7;s;s;19720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22053;Éréac;298;630;445,7;s;s;19380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22054;Erquy;2231;4182;3141,0;57,0;18710;25680;35220;16510;13480;17370;20210;22670;28720;32880;38400;49410;3,7;5,0;0,314;40,7;32,4;2,2;6,1;50,6;8,7
22055;Binic-Étables-sur-Mer;3628;7210;5262,5;60,0;19250;26560;36070;16820;12650;17410;20870;23850;29440;33430;38580;49150;3,9;5,1;0,307;49,7;42,6;2,3;4,8;44,1;6,2
22056;Évran;756;1651;1153,3;s;s;22050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22057;Le Faouët;175;378;263,6;s;s;20610;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22059;Le Fœil;558;1416;938,6;s;s;22780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22060;Gausson;286;642;443,7;s;s;20310;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22061;Glomel;699;1423;1024,6;s;s;19740;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22062;Gomené;254;553;386,9;s;s;20890;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22063;Gommenec'h;238;534;367,7;s;s;19920;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22064;Gouarec;321;610;453,8;s;s;20990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22065;Goudelin;731;1708;1162,6;s;s;21470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22067;Grâces;1157;2573;1796,5;49,0;16590;22640;28400;11810;11210;14960;18370;20400;24840;27300;30610;36980;3,3;4,7;0,292;54,7;49,2;2,1;3,4;39,2;6,1
22068;Grâce-Uzel;181;424;285,8;s;s;20350;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22069;Guenroc;109;244;168,1;s;s;21220;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22070;Guingamp;3622;6234;4770,2;33,0;9170;16620;24260;15090;1320;7470;10710;13790;19360;22460;26540;33260;25,1;16,6;0,407;61,6;53,6;4,0;4,0;35,0;3,4
22071;Guitté;276;692;454,5;s;s;20250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22072;Gurunhuel;169;375;260,2;s;s;19250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22073;La Harmoye;160;381;258,9;s;s;21530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22074;Le Haut-Corlay;301;672;464,7;s;s;19820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22075;Hémonstoir;305;665;462,1;s;s;20910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22076;Hénanbihen;641;1460;1004,7;s;s;22580;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22077;Hénansal;506;1230;825,3;s;s;22110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22079;Hénon;921;2237;1500,7;47,0;16860;21840;27210;10350;11360;15050;18000;20220;23880;25930;29090;35360;3,1;4,0;0,262;70,4;62,8;2,3;5,3;24,1;5,5
22081;Hillion;1839;4271;2920,9;57,0;18780;23970;31380;12590;13620;17170;20020;21930;26530;30060;33770;40780;3,0;3,9;0,263;62,9;54,2;2,3;6,4;32,3;4,8
22082;Le Hinglé;393;870;609,5;s;s;23780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22083;Illifaut;305;679;467,0;s;s;19720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22084;Jugon-les-Lacs - Commune nouvelle;1082;2579;1739,2;47,0;16210;21490;27140;10930;10600;14670;17150;19750;23610;25800;29300;35610;3,4;4,3;0,271;67,4;58,0;2,2;7,2;27,8;4,8
22085;Kerbors;149;284;210,7;s;s;23960;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22086;Kerfot;310;642;456,3;s;s;23320;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22087;Kergrist-Moëlou;277;574;412,1;s;s;18780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22088;Kerien;121;261;184,3;s;s;17830;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22090;Kermaria-Sulard;482;1119;761,1;s;s;22750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22091;Kermoroc'h;180;450;298,3;s;s;20720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22092;Kerpert;129;255;185,3;s;s;18130;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22093;Lamballe-Armor;7952;17223;12077,3;54,0;17490;23500;30840;13350;11600;16120;18850;21210;26010;28810;33240;41220;3,6;4,9;0,301;63,6;56,6;2,2;4,8;29,8;6,6
22094;Lancieux;878;1790;1294,6;s;s;28300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22095;Landebaëron;87;182;129,7;s;s;21970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22096;Landébia;212;463;324,5;s;s;20020;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22097;La Landec;289;723;478,0;s;s;22080;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22098;Landéhen;558;1414;934,9;s;s;23280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22099;Lanfains;414;1064;697,1;s;s;21330;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22101;Langoat;530;1205;824,1;s;s;21270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22103;Langrolay-sur-Rance;453;1016;701,9;s;s;24950;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22104;Languédias;235;511;357,1;s;s;19590;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22105;Languenan;487;1207;798,0;s;s;21280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22106;Langueux;3639;7898;5524,3;57,0;17810;24110;31640;13820;10760;16030;19230;21810;26760;29660;34050;42530;4,0;5,4;0,312;63,3;56,2;2,4;4,7;30,7;6,0
22107;Bon Repos sur Blavet;612;1226;892,8;s;s;20380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22108;Lanleff;60;129;90,5;s;s;22360;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22109;Lanloup;127;252;183,8;s;s;23140;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22110;Lanmérin;211;554;362,2;s;s;20200;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22111;Lanmodez;191;386;283,3;s;s;21740;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
22112;Lannebert;176;423;284,8;s;s;20020;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
