CODGEO;LIBGEO;NBMEN21;NBPERS21;NBUC21;PMIMP21;Q121;Q221;Q321;Q3_Q1;D121;D221;D321;D421;D621;D721;D821;D921;RD;S80S2021;GI21;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PAUT21
01046;Biziat;354;873;583,2;s;s;23980;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01047;Blyes;484;1277;825,3;s;s;27660;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01049;La Boisse;1279;3394;2207,0;65,0;19520;26930;35800;16280;13610;18180;21110;24150;30070;33340;38910;47770;3,5;4,2;0,279;72,9;66,1;2,4;4,4;22,1;5,0
01050;Boissey;138;368;237,1;s;s;22430;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01051;Bolozon;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01052;Bouligneux;127;321;214,1;s;s;28800;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01053;Bourg-en-Bresse;18878;37037;26792,0;46,0;10850;19090;27670;16820;4890;9070;12650;16030;22170;25670;30180;38640;7,9;11,0;0,396;62,6;56,1;3,2;3,3;32,8;4,6
01054;Bourg-Saint-Christophe;573;1571;1002,9;s;s;27500;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01056;Boyeux-Saint-Jérôme;150;343;233,6;s;s;21150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01057;Boz;204;468;321,8;s;s;23180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01058;Brégnier-Cordon;344;801;544,7;s;s;23370;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01060;Brénod;244;548;379,3;s;s;24710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01061;Brens;460;1183;788,8;s;s;25220;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01062;Bressolles;375;991;643,8;s;s;29950;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01063;Brion;248;582;398,5;s;s;25570;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01064;Briord;470;1135;760,0;s;s;23290;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01065;Buellas;794;1985;1318,4;s;s;26710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01066;La Burbanche;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01067;Ceignes;104;246;166,8;s;s;26010;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01068;Cerdon;334;734;512,8;s;s;21060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01069;Certines;671;1583;1073,4;s;s;25970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01071;Cessy;1994;4930;3250,2;63,0;26040;45360;67890;41850;13850;22410;29350;37490;54010;62520;74480;96140;6,9;9,0;0,377;83,3;77,7;2,7;2,9;12,7;4,0
01072;Ceyzériat;1393;3232;2197,6;63,0;18880;25520;34550;15680;12340;17310;20350;22930;28230;31870;37580;46780;3,8;5,0;0,310;68,4;59,6;2,3;6,5;25,2;6,4
01073;Ceyzérieu;458;1048;725,4;s;s;25210;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01074;Chalamont;1031;2426;1635,8;50,0;16690;23290;30410;13720;10380;15420;18250;21020;25840;28650;32190;39990;3,9;4,9;0,288;72,6;67,1;2,7;2,8;22,9;4,5
01075;Chaleins;555;1462;946,9;s;s;25030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01076;Chaley;86;150;115,9;s;s;20910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01077;Challes-la-Montagne;92;184;131,6;s;s;25120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01078;Challex;568;1359;908,3;s;s;47470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01079;Champagne-en-Valromey;308;677;469,9;s;s;21700;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01080;Champdor-Corcelles;281;630;434,9;s;s;23820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01081;Champfromier;322;726;497,6;s;s;27800;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01082;Chanay;216;493;336,9;s;s;28290;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01083;Chaneins;384;992;649,5;s;s;25460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01084;Chanoz-Châtenay;342;909;586,8;s;s;23180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01085;La Chapelle-du-Châtelard;151;396;259,2;s;s;26270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01087;Charix;118;281;191,5;s;s;26650;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01088;Charnoz-sur-Ain;380;975;644,2;s;s;28720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01089;Château-Gaillard;896;2353;1525,7;62,0;18680;25290;31870;13190;12450;17310;19980;22550;27580;30440;33710;40230;3,2;3,7;0,245;76,3;71,5;2,3;2,5;20,3;3,4
01090;Châtenay;154;368;247,0;s;s;23760;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01092;Châtillon-la-Palud;674;1650;1101,0;s;s;25900;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01093;Châtillon-sur-Chalaronne;2351;4777;3432,9;52,0;17090;23210;31300;14210;10720;15400;18300;20830;26180;29530;33410;42150;3,9;5,4;0,314;60,6;54,4;2,3;3,9;33,1;6,3
01094;Chavannes-sur-Reyssouze;320;756;514,3;s;s;23680;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01095;Nivigne et Suran;343;772;533,9;s;s;22820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01096;Chaveyriat;411;1087;706,9;s;s;23530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01098;Chazey-Bons;458;1131;754,0;s;s;22030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
