CODGEO;LIBGEO;NBMENFISC12;NBPERSMENFISC12;MED12;PIMP12;TP6012;TP60AGE112;TP60AGE212;TP60AGE312;TP60AGE412;TP60AGE512;TP60AGE612;TP60TOL112;TP60TOL212;PR12;PRA12;PTSAC12;PBEN12;PPEN12;PPAT12;PPSOC12;PPFAM12;PPMINI12;PPLOGT12;PIMPOT12;RD12;D112;D912
01057;Boz;190;495.5;19423.3;;;;;;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;312;801.0;19174.3;;;;;;;;;;;;;;;;;;;;;;;;
01059;Brénaz;;;;;;;;;;;;;;;;;;;;;;;;;;;
01060;Brénod;240;567.5;21382.4;;;;;;;;;;;;;;;;;;;;;;;;
01061;Brens;409;1144.0;22537.1;;;;;;;;;;;;;;;;;;;;;;;;
01062;Bressolles;289;786.5;25502.4;;;;;;;;;;;;;;;;;;;;;;;;
01063;Brion;204;502.0;22866.3;;;;;;;;;;;;;;;;;;;;;;;;
01064;Briord;364;915.0;19713.9;;;;;;;;;;;;;;;;;;;;;;;;
01065;Buellas;696;1815.0;23157.3;;;;;;;;;;;;;;;;;;;;;;;;
01066;La Burbanche;;;;;;;;;;;;;;;;;;;;;;;;;;;
01067;Ceignes;112;285.0;20748.3;;;;;;;;;;;;;;;;;;;;;;;;
01068;Cerdon;292;676.0;19200.0;;;;;;;;;;;;;;;;;;;;;;;;
01069;Certines;556;1456.5;22324.8;;;;;;;;;;;;;;;;;;;;;;;;
01071;Cessy;1655;4288.5;35570.3;66;10;7;9;9;16;7;;9;11;100.0;96.3;92.8;3.5;11.9;8.1;1.2;0.8;0.1;0.2;-17.5;6.2;12158.8;75165.2
01072;Ceyzériat;1217;2927.5;21771.9;74;6;;7;9;4;2;3;4;13;100.0;76.2;70.2;6.0;25.0;12.3;3.7;2.3;0.6;0.8;-17.2;2.9;13335.0;38672.9
01073;Ceyzérieu;436;1041.5;21398.8;;;;;;;;;;;;;;;;;;;;;;;;
01074;Chalamont;939;2294.0;20505.2;64;8;;9;6;13;6;9;5;14;100.0;79.6;74.5;5.1;21.0;10.0;4.5;2.6;0.8;1.1;-15.1;2.8;12394.3;34359.0
01075;Chaleins;418;1184.5;23240.0;;;;;;;;;;;;;;;;;;;;;;;;
01076;Chaley;72;151.5;17903.3;;;;;;;;;;;;;;;;;;;;;;;;
01077;Challes-la-Montagne;85;184.0;20230.8;;;;;;;;;;;;;;;;;;;;;;;;
01078;Challex;482;1196.5;38015.0;;;;;;;;;;;;;;;;;;;;;;;;
01079;Champagne-en-Valromey;288;622.5;19084.7;;;;;;;;;;;;;;;;;;;;;;;;
01080;Champdor;186;468.0;20796.3;;;;;;;;;;;;;;;;;;;;;;;;
01081;Champfromier;290;681.0;21377.3;;;;;;;;;;;;;;;;;;;;;;;;
01082;Chanay;209;501.0;21257.7;;;;;;;;;;;;;;;;;;;;;;;;
01083;Chaneins;300;853.0;22185.0;;;;;;;;;;;;;;;;;;;;;;;;
01084;Chanoz-Châtenay;282;776.0;20178.6;;;;;;;;;;;;;;;;;;;;;;;;
01085;La Chapelle-du-Châtelard;148;382.5;21667.2;;;;;;;;;;;;;;;;;;;;;;;;
01087;Charix;116;285.5;21748.9;;;;;;;;;;;;;;;;;;;;;;;;
01088;Charnoz-sur-Ain;321;936.0;23901.6;;;;;;;;;;;;;;;;;;;;;;;;
01089;Château-Gaillard;687;1876.5;21056.7;;;;;;;;;;;;;;;;;;;;;;;;
01090;Châtenay;144;359.0;21334.6;;;;;;;;;;;;;;;;;;;;;;;;
01091;Châtillon-en-Michaille;1228;3251.5;24215.0;67;8;;10;8;9;4;10;6;13;100.0;81.8;78.2;3.6;18.5;12.0;2.6;1.6;0.5;0.5;-14.9;3.6;12851.3;46890.0
01092;Châtillon-la-Palud;611;1612.5;21913.8;;;;;;;;;;;;;;;;;;;;;;;;
01093;Châtillon-sur-Chalaronne;2082;4631.0;19553.3;63;10;13;13;15;6;5;7;4;18;100.0;66.2;61.7;4.5;30.6;13.1;4.8;2.5;1.0;1.3;-14.7;2.9;11811.3;34030.0
01094;Chavannes-sur-Reyssouze;297;744.5;19911.4;;;;;;;;;;;;;;;;;;;;;;;;
01095;Chavannes-sur-Suran;261;633.0;20629.1;;;;;;;;;;;;;;;;;;;;;;;;
01096;Chaveyriat;370;971.5;20772.5;;;;;;;;;;;;;;;;;;;;;;;;
01097;Chavornay;98;222.0;20439.3;;;;;;;;;;;;;;;;;;;;;;;;
01098;Chazey-Bons;324;818.0;19871.3;;;;;;;;;;;;;;;;;;;;;;;;
01099;Chazey-sur-Ain;588;1495.0;23156.5;;;;;;;;;;;;;;;;;;;;;;;;
01100;Cheignieu-la-Balme;68;134.5;19520.3;;;;;;;;;;;;;;;;;;;;;;;;
01101;Chevillard;68;167.0;21758.0;;;;;;;;;;;;;;;;;;;;;;;;
01102;Chevroux;342;932.5;20558.0;;;;;;;;;;;;;;;;;;;;;;;;
01103;Chevry;498;1257.0;38130.7;;;;;;;;;;;;;;;;;;;;;;;;
01104;Chézery-Forens;182;436.5;22849.0;;;;;;;;;;;;;;;;;;;;;;;;
01105;Civrieux;502;1399.0;25602.0;;;;;;;;;;;;;;;;;;;;;;;;
01106;Cize;73;177.0;20138.6;;;;;;;;;;;;;;;;;;;;;;;;
01107;Cleyzieu;56;133.5;21235.2;;;;;;;;;;;;;;;;;;;;;;;;
01108;Coligny;485;1079.5;19694.3;;;;;;;;;;;;;;;;;;;;;;;;
01109;Collonges;754;1930.0;30883.8;;;;;;;;;;;;;;;;;;;;;;;;
01110;Colomieu;65;134.5;21118.7;;;;;;;;;;;;;;;;;;;;;;;;
01111;Conand;52;107.0;21024.4;;;;;;;;;;;;;;;;;;;;;;;;
01112;Condamine;151;418.5;20368.6;;;;;;;;;;;;;;;;;;;;;;;;
01113;Condeissiat;307;749.5;19611.1;;;;;;;;;;;;;;;;;;;;;;;;
01114;Confort;195;474.5;22956.0;;;;;;;;;;;;;;;;;;;;;;;;
01115;Confrançon;494;1249.5;20125.6;;;;;;;;;;;;;;;;;;;;;;;;
01116;Contrevoz;210;494.5;20747.2;;;;;;;;;;;;;;;;;;;;;;;;
01117;Conzieu;52;136.5;20405.0;;;;;;;;;;;;;;;;;;;;;;;;
01118;Corbonod;415;991.0;22592.0;;;;;;;;;;;;;;;;;;;;;;;;
01119;Corcelles;86;222.0;18066.7;;;;;;;;;;;;;;;;;;;;;;;;
01121;Corlier;45;115.0;17290.0;;;;;;;;;;;;;;;;;;;;;;;;
01122;Cormaranche-en-Bugey;331;814.0;22601.5;;;;;;;;;;;;;;;;;;;;;;;;
01123;Cormoranche-sur-Saône;404;1083.0;21040.0;;;;;;;;;;;;;;;;;;;;;;;;
01124;Cormoz;281;646.5;19572.0;;;;;;;;;;;;;;;;;;;;;;;;
01125;Corveissiat;253;622.0;19822.9;;;;;;;;;;;;;;;;;;;;;;;;
01127;Courmangoux;221;504.0;21541.7;;;;;;;;;;;;;;;;;;;;;;;;
01128;Courtes;117;291.5;19197.5;;;;;;;;;;;;;;;;;;;;;;;;
01129;Crans;103;251.0;21840.5;;;;;;;;;;;;;;;;;;;;;;;;
01130;Cras-sur-Reyssouze;522;1376.5;21010.5;;;;;;;;;;;;;;;;;;;;;;;;
01133;Cressin-Rochefort;159;418.0;21068.1;;;;;;;;;;;;;;;;;;;;;;;;
01134;Crottet;677;1741.0;21361.5;;;;;;;;;;;;;;;;;;;;;;;;
01135;Crozet;689;1828.0;34383.0;;;;;;;;;;;;;;;;;;;;;;;;
01136;Cruzilles-lès-Mépillat;321;844.5;21857.6;;;;;;;;;;;;;;;;;;;;;;;;
01138;Culoz;1215;2764.0;18624.3;61;15;;22;16;11;10;7;7;26;100.0;64.0;61.7;2.3;29.9;15.4;5.1;2.6;1.1;1.4;-14.4;2.9;10731.3;31030.7
01139;Curciat-Dongalon;201;446.0;18041.0;;;;;;;;;;;;;;;;;;;;;;;;
01140;Curtafond;265;693.0;21489.6;;;;;;;;;;;;;;;;;;;;;;;;
01141;Cuzieu;167;427.0;21302.6;;;;;;;;;;;;;;;;;;;;;;;;
01142;Dagneux;1638;4456.5;21997.6;74;6;6;5;7;8;4;3;4;10;100.0;80.9;77.4;3.5;20.6;9.6;3.9;2.8;0.5;0.7;-15.0;2.7;13298.0;35281.0
01143;Divonne-les-Bains;3534;8245.0;39768.9;70;8;8;7;7;11;8;8;7;11;100.0;95.5;91.2;4.3;13.8;11.2;0.8;0.4;0.2;0.2;-21.3;7.4;13419.3;99893.5
01144;Dommartin;345;888.0;19774.7;;;;;;;;;;;;;;;;;;;;;;;;
01145;Dompierre-sur-Veyle;463;1183.5;19726.5;;;;;;;;;;;;;;;;;;;;;;;;
01146;Dompierre-sur-Chalaronne;152;418.0;21622.5;;;;;;;;;;;;;;;;;;;;;;;;
01147;Domsure;186;465.5;18512.0;;;;;;;;;;;;;;;;;;;;;;;;
01148;Dortan;765;1882.5;20580.0;;;;;;;;;;;;;;;;;;;;;;;;
01149;Douvres;388;1037.0;23737.5;;;;;;;;;;;;;;;;;;;;;;;;
01150;Drom;80;213.5;21095.8;;;;;;;;;;;;;;;;;;;;;;;;
01151;Druillat;479;1187.0;21173.2;;;;;;;;;;;;;;;;;;;;;;;;
01152;Échallon;316;811.0;23951.3;;;;;;;;;;;;;;;;;;;;;;;;
01153;Échenevex;593;1764.5;42975.7;;;;;;;;;;;;;;;;;;;;;;;;
01154;Étrez;284;803.0;19541.1;;;;;;;;;;;;;;;;;;;;;;;;
01155;Évosges;63;137.0;18299.3;;;;;;;;;;;;;;;;;;;;;;;;
