code_commune;nom_commune;taux_chomage_2012;population_2012;nb_menages_fiscaux_2012;nb_personnes_menages_fiscaux_2012;revenu_median_2012;nb_etablissements_2012;effectifs_salaries_2012;bloc_centre_2012;bloc_droite_2012;bloc_droite_radicale_2012;bloc_gauche_2012;bloc_gauche_radicale_2012;bloc_souverainiste_autres_2012;taux_chomage_2017;population_2017;nb_menages_fiscaux_2017;nb_personnes_menages_fiscaux_2017;revenu_median_2017;nb_etablissements_2017;effectifs_salaries_2017;bloc_centre_2017;bloc_droite_2017;bloc_droite_radicale_2017;bloc_gauche_2017;bloc_gauche_radicale_2017;bloc_souverainiste_autres_2017;taux_chomage_2022;population_2022;nb_menages_fiscaux_2022;nb_personnes_menages_fiscaux_2022;revenu_median_2022;nb_etablissements_2022;effectifs_salaries_2022;bloc_centre_2022;bloc_droite_2022;bloc_droite_radicale_2022;bloc_gauche_2022;bloc_gauche_radicale_2022;bloc_souverainiste_autres_2022;bloc_centre_delta_12_17;bloc_centre_delta_17_22;bloc_droite_delta_12_17;bloc_droite_delta_17_22;bloc_droite_radicale_delta_12_17;bloc_droite_radicale_delta_17_22;bloc_gauche_delta_12_17;bloc_gauche_delta_17_22;bloc_gauche_radicale_delta_12_17;bloc_gauche_radicale_delta_17_22;bloc_souverainiste_autres_delta_12_17;bloc_souverainiste_autres_delta_17_22;taux_chomage_delta_12_17;taux_chomage_delta_17_22;population_delta_12_17;population_delta_17_22;nb_menages_fiscaux_delta_12_17;nb_menages_fiscaux_delta_17_22;nb_personnes_menages_fiscaux_delta_12_17;nb_personnes_menages_fiscaux_delta_17_22;revenu_median_delta_12_17;revenu_median_delta_17_22;nb_etablissements_delta_12_17;nb_etablissements_delta_17_22;effectifs_salaries_delta_12_17;effectifs_salaries_delta_17_22;salaries_par_etablissement_2012;personnes_par_menage_fiscal_2012;salaries_par_etablissement_2017;personnes_par_menage_fiscal_2017;salaries_par_etablissement_2022;personnes_par_menage_fiscal_2022;bloc_gagnant_2012;bloc_gagnant_2017;bloc_gagnant_2022
69012;Les Ardillats;6.32530120481927;623.0;229.0;597.5;20841.1;7.0;20.0;9.701492537313433;34.32835820895522;19.154228855721392;32.08955223880597;0.9950248756218906;3.731343283582089;5.06329113937038;622.0;242.0;612.0;21320.0;7.0;21.0;19.8581560283688;21.04018912529551;29.78723404255319;20.56737588652482;1.6548463356973997;7.092198581560284;3.16784621512222;616.0;224.0;545.0;23620.0;10.0;28.0;30.20833333333333;3.90625;34.11458333333333;25.78125;2.083333333333333;3.90625;10.156663491055367;10.350177304964529;-13.288169083659714;-17.13393912529551;10.633005186831799;4.327349290780138;-11.52217635228115;5.213874113475178;0.6598214600755091;0.42848699763593334;3.360855297978195;-3.185948581560284;-1.26201006544889;-1.8954449242481597;-1.0;-6.0;13.0;-18.0;14.5;-67.0;478.90000000000146;2300.0;0.0;3.0;1.0;7.0;2.857142857142857;2.609170305676856;3.0;2.5289256198347108;2.8;2.4330357142857144;bloc_droite;bloc_droite_radicale;bloc_droite_radicale
69013;Arnas;8.98131404460519;3428.0;1316.0;3497.5;21916.1;214.0;3073.0;10.914603335017686;33.046993431025776;22.536634663971704;30.77311773623042;1.0611419909044972;1.667508842849924;9.47047370561539;3778.0;1466.0;3778.0;23160.0;238.0;3207.0;21.02161100196464;23.7721021611002;28.929273084479373;18.860510805500983;0.9332023575638508;6.4833005893909625;7.29663480351616;4408.0;1703.0;4200.0;24730.0;277.0;3895.0;31.789568345323744;5.260791366906474;35.92625899280576;23.7410071942446;0.7194244604316548;2.5629496402877696;10.107007666946954;10.767957343359104;-9.274891269925575;-18.511310794193726;6.392638420507669;6.9969859083263835;-11.912606930729439;4.880496388743616;-0.1279396333406464;-0.21377789713219608;4.815791746541039;-3.920350949103193;0.48915966101020025;-2.17383890209923;350.0;630.0;150.0;237.0;280.5;422.0;1243.9000000000015;1570.0;24.0;39.0;134.0;688.0;14.35981308411215;2.657674772036474;13.474789915966387;2.577080491132333;14.061371841155236;2.4662360540223136;bloc_droite;bloc_droite_radicale;bloc_droite_radicale
69014;Aveize;5.03018108651912;1115.0;382.0;985.0;19934.0;16.0;490.0;13.670133729569091;29.271916790490344;17.682020802377416;32.986627043090635;2.2288261515601784;4.160475482912332;5.01043841336117;1127.0;382.0;998.0;21360.0;18.0;484.0;22.658610271903324;18.27794561933535;24.018126888217523;19.637462235649547;1.3595166163141994;14.04833836858006;3.61904761904762;1108.0;396.0;1002.0;21900.0;19.0;429.0;31.818181818181817;4.075235109717868;32.13166144200627;25.705329153605017;1.09717868338558;5.172413793103448;8.988476542334233;9.159571546278492;-10.993971171154996;-14.20271050961748;6.3361060858401075;8.113534553788746;-13.349164807441088;6.06786691795547;-0.869309535245979;-0.2623379329286195;9.887862885667728;-8.875924575476612;-0.019742673157949753;-1.39139079431355;12.0;-19.0;0.0;14.0;13.0;4.0;1426.0;540.0;2.0;1.0;-6.0;-55.0;30.625;2.5785340314136125;26.88888888888889;2.612565445026178;22.57894736842105;2.5303030303030303;bloc_gauche;bloc_droite_radicale;bloc_droite_radicale
69015;Avenas;;;49.0;127.0;19717.5;;;10.714285714285714;36.90476190476191;11.904761904761903;34.523809523809526;3.571428571428571;2.380952380952381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5918367346938775;;;;;bloc_droite;;
69016;Azolette;11.3207547169811;127.0;52.0;127.5;17762.2;1.0;0.0;20.388349514563107;41.74757281553398;20.388349514563107;14.563106796116504;0.9708737864077668;1.9417475728155336;4.08163265306122;120.0;47.0;123.0;18540.0;;;21.904761904761905;23.809523809523807;27.61904761904762;10.476190476190476;1.9047619047619049;14.285714285714285;8.7719298245614;122.0;52.0;115.0;21860.0;1.0;1.0;32.0;11.0;40.0;14.000000000000002;0.0;3.0;1.5164123901987985;10.095238095238095;-17.93804900601017;-12.809523809523807;7.230698104484514;12.38095238095238;-4.086916319926027;3.5238095238095255;0.9338881183541381;-1.9047619047619049;12.343966712898752;-11.285714285714285;-7.239122063919879;4.69029717150018;-7.0;2.0;-5.0;5.0;-4.5;-8.0;777.7999999999993;3320.0;;;;;0.0;2.451923076923077;;2.617021276595745;1.0;2.2115384615384617;bloc_droite;bloc_droite_radicale;bloc_droite_radicale
69017;Bagnols;6.88405797101449;659.0;293.0;771.5;22609.2;19.0;42.0;8.050847457627118;27.54237288135593;21.610169491525426;38.983050847457626;1.9067796610169487;1.9067796610169487;7.31707317083428;731.0;303.0;793.0;25770.0;22.0;82.0;23.060344827586206;24.353448275862068;21.120689655172413;20.689655172413797;2.3706896551724137;8.405172413793103;3.54952964602117;758.0;309.0;754.0;26740.0;23.0;51.0;33.12883435582822;5.112474437627812;33.74233128834356;24.74437627811861;1.4314928425357871;1.8404907975460123;15.009497369959089;10.068489528242011;-3.188924605493863;-19.240973838234254;-0.48947983635301284;12.621641633171144;-18.29339567504383;4.0547211057048145;0.46390999415546497;-0.9391968126366266;6.498392752776154;-6.564681616247091;0.4330151998197902;-3.7675435248131097;72.0;27.0;10.0;6.0;21.5;-39.0;3160.7999999999993;970.0;3.0;1.0;40.0;-31.0;2.210526315789474;2.6331058020477816;3.727272727272727;2.617161716171617;2.217391304347826;2.440129449838188;bloc_gauche;bloc_droite;bloc_droite_radicale
69018;Beaujeu;10.0830295164947;2039.0;834.0;1821.5;18377.5;69.0;411.0;9.799789251844048;35.51106427818757;23.28767123287671;26.55426765015806;1.7913593256059008;3.055848261327714;14.1263791927365;2157.0;864.0;1796.0;19700.0;69.0;458.0;23.09257375381485;25.635808748728383;26.042726347914545;15.666327568667343;1.2207527975584944;8.341810783316378;6.79933043350458;2103.0;873.0;1746.0;20850.0;64.0;424.0;32.48212461695608;5.413687436159346;38.30439223697651;19.816138917262517;1.0214504596527068;2.96220633299285;13.292784501970802;9.389550863141228;-9.875255529459185;-20.222121312569037;2.755055115037834;12.261665889061966;-10.887940081490717;4.149811348595174;-0.5706065280474064;-0.19930233790578766;5.2859625219886635;-5.379604450323528;4.043349676241801;-7.3270487592319204;118.0;-54.0;30.0;9.0;-25.5;-50.0;1322.5;1150.0;0.0;-5.0;47.0;-34.0;5.956521739130435;2.184052757793765;6.63768115942029;2.0787037037037037;6.625;2.0;bloc_droite;bloc_droite_radicale;bloc_droite_radicale
69019;Belleville-en-Beaujolais;14.326242214212;8123.0;3384.0;7835.0;17821.0;441.0;4270.0;9.306987399770906;29.266895761741125;22.99541809851088;34.47880870561283;2.004581901489118;1.9473081328751431;12.1745124461884;12971.0;5212.0;12372.0;20450.0;449.0;4865.0;23.23699421965318;19.710982658959537;26.676300578034684;21.30057803468208;1.5028901734104043;7.572254335260116;9.8124339675193;13767.0;5876.0;13588.0;21550.0;530.0;5377.0;29.07813010787839;4.3478260869565215;36.38443935926773;26.65903890160183;1.0134030728996404;2.517162471395881;13.930006819882275;5.84113588822521;-9.555913102781588;-15.363156572003016;3.680882479523806;9.708138781233046;-13.178230670930748;5.358460866919749;-0.5016917280787137;-0.48948710051076394;5.624946202384972;-5.055091863864234;-2.1517297680236;-2.3620784786690994;4848.0;796.0;1828.0;664.0;4537.0;1216.0;2629.0;1100.0;8.0;81.0;595.0;512.0;9.682539682539682;2.315307328605201;10.835189309576837;2.3737528779739065;10.145283018867925;2.3124574540503744;bloc_gauche;bloc_droite_radicale;bloc_droite_radicale
69020;Belmont-d'Azergues;7.61904761904762;624.0;226.0;641.5;23186.5;5.0;10.0;12.128712871287128;26.23762376237624;18.81188118811881;38.86138613861386;1.2376237623762376;2.722772277227723;8.80503144654088;631.0;240.0;661.0;24540.0;2.0;5.0;28.64197530864197;14.074074074074074;23.703703703703702;27.40740740740741;2.9629629629629632;3.2098765432098766;4.89130434782609;717.0;259.0;673.0;30330.0;8.0;24.0;30.35714285714285;5.133928571428571;29.017857142857142;31.91964285714285;1.5625;2.008928571428572;16.513262437354843;1.7151675485008795;-12.163549688302167;-8.940145502645503;4.891822515584892;5.31415343915344;-11.453978731206451;4.512235449735442;1.7253392005867256;-1.4004629629629632;0.4871042659821536;-1.2009479717813045;1.18598382749326;-3.9137270987147907;7.0;86.0;14.0;19.0;19.5;12.0;1353.5;5790.0;-3.0;6.0;-5.0;19.0;2.0;2.838495575221239;2.5;2.754166666666667;3.0;2.5984555984555984;bloc_gauche;bloc_centre;bloc_gauche
69021;Bessenay;6.01577909270217;2253.0;858.0;2197.0;20931.5;47.0;258.0;11.645379413974457;30.277986476333584;16.528925619834713;36.96468820435763;1.878287002253944;2.70473328324568;8.65858405418253;2293.0;923.0;2293.0;22910.0;54.0;298.0;23.328380386329865;18.27637444279346;19.61367013372957;26.894502228826152;1.634472511144131;10.25260029717682;6.62052650864388;2351.0;965.0;2274.0;24670.0;51.0;277.0;28.52062588904694;6.330014224751067;26.458036984352773;33.35704125177809;1.4935988620199143;3.840682788051209;11.683000972355408;5.192245502717075;-12.001612033540123;-11.946360218042393;3.084744513894858;6.844366850623203;-10.070185975531476;6.46253902295194;-0.24381449110981301;-0.14087364912421663;7.547867013931139;-6.41191750912561;2.64280496148036;-2.03805754553865;40.0;58.0;65.0;42.0;96.0;-19.0;1978.5;1760.0;7.0;-3.0;40.0;-21.0;5.48936170212766;2.5606060606060606;5.518518518518518;2.4842903575297943;5.431372549019608;2.356476683937824;bloc_gauche;bloc_gauche;bloc_gauche
69022;Bibost;6.25;551.0;202.0;546.5;19956.7;3.0;8.0;12.5;37.83783783783784;18.58108108108108;26.68918918918919;2.027027027027027;2.364864864864865;8.02935223740604;575.0;206.0;536.0;23770.0;3.0;4.0;19.937694704049843;23.98753894080997;25.233644859813083;19.937694704049843;1.557632398753894;9.345794392523365;4.45936240759417;543.0;210.0;506.0;24430.0;8.0;12.0;26.11275964391692;8.011869436201781;36.20178041543027;24.03560830860534;1.1869436201780417;4.451038575667656;7.437694704049843;6.175064939867077;-13.85029889702787;-15.975669504608188;6.652563778732002;10.968135555617188;-6.751494485139347;4.097913604555497;-0.46939462827313316;-0.37068877857585236;6.9809295276585;-4.894755816855708;1.7793522374060409;-3.5699898298118713;24.0;-32.0;4.0;4.0;-10.5;-30.0;3813.2999999999993;660.0;0.0;5.0;-4.0;8.0;2.6666666666666665;2.7054455445544554;1.3333333333333333;2.6019417475728157;1.5;2.4095238095238094;bloc_droite;bloc_droite_radicale;bloc_droite_radicale
69023;Blacé;4.56487108015539;1469.0;535.0;1437.5;22971.3;29.0;71.0;12.61682242990654;38.31775700934579;26.635514018691588;19.39252336448598;1.1682242990654206;1.8691588785046729;5.99489795919077;1631.0;602.0;1564.0;24110.0;34.0;105.0;21.7948717948718;29.27350427350428;25.961538461538463;13.354700854700855;0.3205128205128205;9.294871794871796;4.09000584327931;1692.0;618.0;1577.0;27490.0;39.0;145.0;32.28426395939086;6.49746192893401;36.751269035533;21.11675126903553;0.7106598984771574;2.639593908629441;9.17804936496526;10.489392164519064;-9.04425273584151;-22.77604234457027;-0.6739755571531241;10.789730573994536;-6.037822509785126;7.762050414334674;-0.8477114785526001;0.3901470779643369;7.4257129163671225;-6.655277886242354;1.4300268790353803;-1.9048921159114602;162.0;61.0;67.0;16.0;126.5;13.0;1138.7000000000007;3380.0;5.0;5.0;34.0;40.0;2.4482758620689653;2.6869158878504673;3.088235294117647;2.5980066445182723;3.717948717948718;2.5517799352750807;bloc_droite;bloc_droite;bloc_droite_radicale
69024;Val d'Oingt;6.44327398937057;2334.0;921.0;2259.0;22441.0;103.0;477.0;11.90644932671864;32.03401842664777;16.017009213323885;36.28632175761871;1.4174344436569808;2.3387668320340187;8.50486301783322;4037.0;1695.0;4100.0;24050.0;113.0;569.0;27.77777777777778;22.941646682653875;20.623501199040767;20.023980815347723;1.4788169464428458;7.154276578737011;6.20833345759904;4143.0;1810.0;4330.0;27060.0;121.0;566.0;32.95107033639144;7.033639143730887;28.78440366972477;27.90519877675841;1.1850152905198776;2.140672782874617;15.871328451059139;5.17329255861366;-9.092371743993894;-15.908007538922988;4.6064919857168825;8.160902470684004;-16.262340942270985;7.881217961410687;0.06138250278586499;-0.29380165592296814;4.8155097467029915;-5.013603795862394;2.0615890284626497;-2.2965295602341795;1703.0;106.0;774.0;115.0;1841.0;230.0;1609.0;3010.0;10.0;8.0;92.0;-3.0;4.631067961165049;2.452768729641694;5.035398230088496;2.4188790560471976;4.677685950413223;2.3922651933701657;bloc_gauche;bloc_centre;bloc_centre
69026;Le Breuil;5.37190082644628;454.0;174.0;478.5;22679.3;9.0;30.0;16.176470588235293;36.02941176470589;19.485294117647054;23.897058823529413;1.8382352941176472;2.5735294117647056;7.36434108527132;530.0;181.0;504.0;23630.0;6.0;29.0;23.02405498281787;30.240549828178693;25.773195876288657;13.058419243986256;0.6872852233676976;7.216494845360824;6.56934306569343;528.0;189.0;518.0;26370.0;7.0;35.0;33.21917808219178;4.452054794520548;38.35616438356164;19.17808219178082;0.3424657534246575;4.452054794520548;6.847584394582576;10.195123099373912;-5.788861936527198;-25.788495033658144;6.287901758641603;12.582968507272984;-10.838639579543157;6.1196629477945645;-1.1509500707499496;-0.3448194699430401;4.642965433596118;-2.7644400508402756;1.9924402588250398;-0.7949980195778901;76.0;-2.0;7.0;8.0;25.5;14.0;950.7000000000007;2740.0;-3.0;1.0;-1.0;6.0;3.3333333333333335;2.75;4.833333333333333;2.7845303867403315;5.0;2.740740740740741;bloc_droite;bloc_droite;bloc_droite_radicale
