annee_election;code_commune;nom_commune;taux_chomage;population;nb_menages_fiscaux;nb_personnes_menages_fiscaux;revenu_median;nb_etablissements;effectifs_salaries;bloc_centre;bloc_droite;bloc_droite_radicale;bloc_gauche;bloc_gauche_radicale;bloc_souverainiste_autres
2012;69001;Affoux;4.94505494505495;344.0;119.0;341.0;20896.7;4.0;6.0;13.302752293577983;31.19266055045872;27.981651376146782;18.34862385321101;2.752293577981652;6.422018348623854
2012;69002;Aigueperse;5.55555555555555;249.0;115.0;242.0;17186.7;3.0;5.0;15.909090909090908;33.52272727272727;34.659090909090914;13.068181818181818;1.7045454545454544;1.1363636363636365
2012;69003;Albigny-sur-Saône;10.7123026535761;2804.0;946.0;2379.0;23941.0;46.0;236.0;10.567210567210568;35.81973581973582;16.783216783216783;33.022533022533025;1.6317016317016315;2.1756021756021755
2012;69004;Alix;6.97674418604651;746.0;245.0;652.5;22778.4;10.0;35.0;9.749303621169917;31.75487465181058;22.284122562674096;30.919220055710305;2.2284122562674096;3.064066852367688
2012;69005;Ambérieux;9.89399293286219;542.0;188.0;549.0;22559.6;37.0;699.0;6.865671641791045;35.223880597014926;31.94029850746269;21.492537313432837;0.8955223880597015;3.582089552238806
2012;69006;Amplepuis;13.1956985826167;5032.0;2109.0;4905.5;17825.3;141.0;1327.0;11.3612746795982;29.754069968825767;24.073432629026676;30.27364045722203;2.009005888465535;2.5285763768617944
2012;69007;Ampuis;6.51851851851852;2696.0;1066.0;2569.0;22609.8;68.0;472.0;10.346964064436182;31.474597273853774;23.79182156133829;30.297397769516728;1.3630731102850062;2.7261462205700124
2012;69008;Ancy;7.18954248366013;606.0;227.0;621.0;20192.0;8.0;10.0;11.704834605597965;35.6234096692112;19.083969465648856;31.043256997455472;0.5089058524173028;2.035623409669211
2012;69009;Anse;8.16726559947729;6588.0;2482.0;6422.0;21832.0;176.0;1362.0;10.88757396449704;31.568047337278102;16.923076923076923;37.15976331360947;1.242603550295858;2.218934911242604
2012;69010;L'Arbresle;11.2363387978142;6271.0;2494.0;6074.0;19832.7;256.0;1929.0;12.664315485732608;24.94389227316448;15.293363257454311;43.02661109329913;1.2504007694773966;2.8214171208720744
2012;69012;Les Ardillats;6.32530120481927;623.0;229.0;597.5;20841.1;7.0;20.0;9.701492537313433;34.32835820895522;19.154228855721392;32.08955223880597;0.9950248756218906;3.731343283582089
2012;69013;Arnas;8.98131404460519;3428.0;1316.0;3497.5;21916.1;214.0;3073.0;10.914603335017686;33.046993431025776;22.536634663971704;30.77311773623042;1.0611419909044972;1.667508842849924
2012;69014;Aveize;5.03018108651912;1115.0;382.0;985.0;19934.0;16.0;490.0;13.670133729569091;29.271916790490344;17.682020802377416;32.986627043090635;2.2288261515601784;4.160475482912332
2012;69015;Avenas;;;49.0;127.0;19717.5;;;10.714285714285714;36.90476190476191;11.904761904761903;34.523809523809526;3.571428571428571;2.380952380952381
2012;69016;Azolette;11.3207547169811;127.0;52.0;127.5;17762.2;1.0;0.0;20.388349514563107;41.74757281553398;20.388349514563107;14.563106796116504;0.9708737864077668;1.9417475728155336
2012;69017;Bagnols;6.88405797101449;659.0;293.0;771.5;22609.2;19.0;42.0;8.050847457627118;27.54237288135593;21.610169491525426;38.983050847457626;1.9067796610169487;1.9067796610169487
2012;69018;Beaujeu;10.0830295164947;2039.0;834.0;1821.5;18377.5;69.0;411.0;9.799789251844048;35.51106427818757;23.28767123287671;26.55426765015806;1.7913593256059008;3.0558482613277134
2012;69019;Belleville-en-Beaujolais;14.326242214212;8123.0;3384.0;7835.0;17821.0;441.0;4270.0;9.306987399770906;29.266895761741125;22.99541809851088;34.47880870561283;2.004581901489118;1.9473081328751431
2012;69020;Belmont-d'Azergues;7.61904761904762;624.0;226.0;641.5;23186.5;5.0;10.0;12.128712871287128;26.23762376237624;18.81188118811881;38.86138613861386;1.2376237623762376;2.722772277227723
2012;69021;Bessenay;6.01577909270217;2253.0;858.0;2197.0;20931.5;47.0;258.0;11.645379413974457;30.277986476333584;16.528925619834713;36.96468820435763;1.878287002253944;2.70473328324568
2012;69022;Bibost;6.25;551.0;202.0;546.5;19956.7;3.0;8.0;12.5;37.83783783783784;18.58108108108108;26.68918918918919;2.027027027027027;2.364864864864865
2012;69023;Blacé;4.56487108015539;1469.0;535.0;1437.5;22971.3;29.0;71.0;12.61682242990654;38.31775700934579;26.635514018691588;19.39252336448598;1.1682242990654206;1.8691588785046729
2012;69024;Val d'Oingt;6.44327398937057;2334.0;921.0;2259.0;22441.0;103.0;477.0;11.90644932671864;32.03401842664777;16.017009213323885;36.28632175761871;1.4174344436569808;2.3387668320340187
2012;69026;Le Breuil;5.37190082644628;454.0;174.0;478.5;22679.3;9.0;30.0;16.176470588235293;36.02941176470589;19.485294117647054;23.897058823529413;1.8382352941176472;2.5735294117647056
2012;69027;Brignais;9.78834980815397;11429.0;4478.0;11377.0;23047.1;633.0;7511.0;12.051822838204275;31.60590539319072;14.05543838505574;38.35492618258512;1.4914130762277793;2.4404941247363663
2012;69028;Brindas;5.91339345864675;5775.0;2136.0;5883.5;26196.0;156.0;897.0;12.853841709994224;36.48180242634315;16.175621028307337;30.79145002888504;1.3287117273252456;2.368573079145003
2012;69029;Bron;14.5862074512583;38746.0;15457.0;36867.0;19050.0;1016.0;12253.0;9.423307284239348;26.393246249500883;15.657977297358965;45.314015173121895;1.2948491244081912;1.916604871370715
2012;69030;Brullioles;7.14285714285715;812.0;320.0;799.0;19804.3;18.0;66.0;10.30534351145038;38.3587786259542;18.3206106870229;28.435114503816795;1.5267175572519085;3.0534351145038165
2012;69031;Brussieu;5.64662969205559;1261.0;471.0;1271.5;20591.7;21.0;92.0;12.4251497005988;29.191616766467064;22.15568862275449;30.988023952095805;2.095808383233533;3.143712574850299
2012;69032;Bully;6.83133262301144;2086.0;743.0;1979.0;22236.6;57.0;318.0;11.22778675282714;35.70274636510501;19.789983844911145;30.61389337641357;0.8885298869143781;1.777059773828756
2012;69033;Cailloux-sur-Fontaines;4.55971324351374;2525.0;896.0;2549.5;29474.4;93.0;828.0;11.6729088639201;42.50936329588015;13.420724094881397;29.837702871410738;0.6242197253433208;1.9350811485642945
2012;69034;Caluire-et-Cuire;9.76916569292732;42581.0;19280.0;42493.0;23570.4;1030.0;10410.0;11.279872999528038;36.727163513107655;11.271291886557687;37.77405929549062;1.081220234264384;1.8663920710516155
2012;69035;Cenves;10.0961538461538;407.0;158.0;390.5;20158.6;7.0;16.0;17.073170731707318;27.64227642276423;17.073170731707318;34.552845528455286;1.6260162601626018;2.032520325203252
2012;69036;Cercié;4.6551724137931;1130.0;419.0;1148.5;20388.6;30.0;116.0;10.110584518167457;29.067930489731435;28.12006319115324;28.593996840442337;2.211690363349131;1.895734597156398
2012;69037;Chambost-Allières;8.92857142857143;794.0;348.0;827.0;18781.9;13.0;213.0;10.893246187363834;29.193899782135077;23.093681917211327;31.590413943355124;2.396514161220044;2.832244008714597
2012;69038;Chambost-Longessaigne;10.0;916.0;372.0;946.5;18677.2;12.0;25.0;9.861932938856016;32.544378698224854;21.89349112426036;29.78303747534517;2.1696252465483234;3.7475345167652856
2012;69039;Chamelet;10.3857566765579;641.0;271.0;637.0;20610.5;6.0;18.0;13.138686131386862;31.143552311435524;18.004866180048662;34.54987834549878;1.2165450121654502;1.9464720194647205
2012;69040;Champagne-au-Mont-d'Or;9.91506950766111;5613.0;2435.0;5557.0;23739.1;373.0;3581.0;10.546378653113088;41.26429479034307;14.612452350698856;30.1143583227446;1.1118170266836087;2.350698856416773
2012;69042;La Chapelle-sur-Coise;2.66666666666667;565.0;201.0;590.0;21274.2;4.0;5.0;12.154696132596683;35.0828729281768;20.718232044198896;26.79558011049724;1.3812154696132597;3.867403314917127
2012;69043;Chaponost;7.31644790122864;8099.0;3088.0;8322.5;28056.0;279.0;3669.0;13.146176185866407;37.986447241045504;11.539206195546951;34.24975798644724;0.85188770571152;2.226524685382381
2012;69044;Charbonnières-les-Bains;6.39733933618777;4919.0;2039.0;5141.5;33434.4;160.0;1221.0;10.49806143751864;56.36743215031316;9.245451834178349;21.32418729495974;0.4473605726215329;2.1175067104085894
2012;69045;Charentay;5.85516178736518;1197.0;447.0;1187.5;21730.7;11.0;61.0;9.193776520509193;32.814710042432814;25.601131541725604;29.13719943422914;0.5657708628005658;2.6874115983026874
2012;69046;Charly;5.15022031243057;4448.0;1646.0;4636.5;29089.5;87.0;436.0;13.055003313452618;39.99337309476474;12.65738899933731;31.312127236580515;0.5964214711729622;2.3856858846918487
2012;69047;Charnay;9.03846153846154;1094.0;375.0;930.0;26157.1;22.0;87.0;13.2996632996633;34.68013468013468;15.824915824915823;33.670033670033675;0.5050505050505051;2.0202020202020203
2012;69048;Chassagny;;;425.0;1272.5;23932.6;;;9.511568123393316;28.406169665809767;21.85089974293059;36.50385604113111;1.1568123393316194;2.570694087403599
2012;69049;Chasselay;7.12307814948715;2695.0;982.0;2549.0;28351.2;63.0;300.0;12.238979118329468;42.86542923433875;12.935034802784225;29.23433874709977;0.7540603248259861;1.9721577726218096
2012;69050;Châtillon;7.08955223880597;2194.0;881.0;2287.5;23607.0;53.0;291.0;10.567210567210568;32.55633255633256;16.783216783216783;34.80963480963481;1.8648018648018647;3.418803418803419
2012;69051;Chaussan;5.60928433268859;1024.0;353.0;986.0;21850.0;8.0;29.0;13.16931982633864;29.088277858176557;16.063675832127352;37.04775687409551;2.170767004341534;2.460202604920405
2012;69052;Chazay-d'Azergues;5.56624645103292;4007.0;1596.0;4184.0;26587.5;79.0;438.0;11.859838274932615;37.46630727762803;13.785136696187909;33.269156719291495;1.1936850211782826;2.4258760107816717
2012;69053;Chénas;5.97014925373134;542.0;200.0;549.0;19876.7;6.0;15.0;14.02439024390244;30.182926829268293;19.51219512195122;32.926829268292686;0.9146341463414632;2.4390243902439024
2012;69054;Chénelette;10.625;322.0;149.0;321.0;21719.6;9.0;46.0;12.184873949579831;38.655462184873954;23.52941176470588;22.268907563025213;1.2605042016806722;2.100840336134454
2012;69055;Les Chères;5.87392550143266;1440.0;541.0;1472.0;24590.3;41.0;246.0;11.889862327909889;38.04755944931164;20.90112640801001;25.406758448060074;1.0012515644555695;2.753441802252816
2012;69056;Chessy;5.84415584415584;1857.0;677.0;1850.0;23228.7;33.0;118.0;10.675808031341822;31.53770812928501;17.92360430950049;35.25954946131244;1.4691478942213516;3.134182174338884
2012;69057;Chevinay;5.5363321799308;541.0;215.0;560.5;24509.5;2.0;2.0;10.451977401129945;33.89830508474576;15.819209039548024;36.72316384180791;1.4124293785310735;1.694915254237288
2012;69058;Chiroubles;1.84331797235023;413.0;160.0;372.0;16985.8;4.0;15.0;11.328125;33.59375;15.625;33.59375;2.734375;3.125
2012;69059;Civrieux-d'Azergues;9.48616600790514;1520.0;558.0;1472.0;23642.0;82.0;1114.0;12.729357798165136;38.64678899082568;16.743119266055047;27.866972477064223;1.261467889908257;2.752293577981652
2012;69060;Claveisolles;5.42372881355932;649.0;257.0;648.5;18007.0;10.0;51.0;11.219512195121952;35.36585365853659;24.634146341463413;24.87804878048781;2.4390243902439024;1.4634146341463417
2012;69061;Cogny;5.54493307839388;1154.0;434.0;1104.5;23729.5;17.0;53.0;8.050847457627118;38.559322033898304;20.62146892655367;29.09604519774011;0.7062146892655368;2.9661016949152543
2012;69062;Coise;0.0;756.0;286.0;788.5;19066.7;8.0;27.0;18.687872763419485;34.39363817097416;16.10337972166998;25.24850894632207;1.9880715705765408;3.5785288270377733
2012;69063;Collonges-au-Mont-d'Or;9.02166604633182;3911.0;1552.0;4122.5;31790.0;103.0;836.0;12.678855325914148;50.794912559618446;9.10174880763116;24.80127186009539;0.6756756756756757;1.9475357710651828
2012;69064;Condrieu;8.95040014222563;3873.0;1596.0;3601.0;20099.4;120.0;946.0;8.944628490298154;27.543776620918127;16.043539990534786;43.587316611452906;1.845716990061524;2.0350212967345005
2012;69065;Corcelles-en-Beaujolais;4.07725321888412;883.0;342.0;868.0;20998.9;23.0;93.0;8.461538461538462;30.384615384615383;33.26923076923077;23.46153846153846;1.9230769230769231;2.5
2012;69066;Cours;11.8229658301696;3797.0;1697.0;3731.5;18645.1;161.0;2115.0;9.567496723460026;29.838357361293134;23.46002621231979;31.804281345565748;2.0969855832241158;3.2328527741371778
2012;69067;Courzieu;6.91537145417692;1095.0;473.0;1139.5;19056.5;20.0;108.0;12.005457025920874;33.83356070941337;21.00954979536153;28.92223738062756;1.9099590723055933;2.319236016371077
2012;69068;Couzon-au-Mont-d'Or;11.2105619268034;2598.0;987.0;2388.5;24352.3;77.0;831.0;9.784172661870503;31.58273381294964;14.172661870503598;41.58273381294964;1.3669064748201438;1.5107913669064748
2012;69069;Craponne;8.2514894598422;10466.0;4366.0;10431.0;23844.6;327.0;2957.0;12.463718627283592;34.71060269762677;14.700358545330374;34.130100734164245;1.1951511012463718;2.800068294348643
2012;69070;Cublize;8.01457194899818;1236.0;504.0;1222.0;19492.7;32.0;123.0;9.80132450331126;28.874172185430464;28.74172185430464;27.947019867549667;1.456953642384106;3.178807947019868
2012;69071;Curis-au-Mont-d'Or;5.73476702508961;1147.0;428.0;1172.0;28351.7;16.0;85.0;11.128526645768025;38.24451410658307;14.263322884012538;32.9153605015674;0.6269592476489028;2.8213166144200628
2012;69072;Dardilly;8.6425759134639;8538.0;3085.0;8639.5;28638.1;613.0;8013.0;12.052551408987052;44.345011424219344;11.386138613861387;29.7981721249048;0.7425742574257426;1.6755521706016754
2012;69073;Dareizé;;;173.0;495.0;23542.0;;;13.069908814589663;39.209726443769;21.580547112462007;24.316109422492403;0.911854103343465;0.911854103343465
2012;69074;Denicé;6.88073394495413;1385.0;542.0;1426.5;22921.3;25.0;102.0;10.108695652173912;38.26086956521739;17.282608695652176;31.521739130434785;1.1956521739130437;1.6304347826086956
2012;69075;Dième;7.52688172043011;206.0;63.0;201.5;20692.8;3.0;10.0;17.59259259259259;30.55555555555556;28.703703703703702;19.444444444444446;0.0;3.7037037037037033
2012;69076;Dommartin;6.22914378876223;2637.0;937.0;2709.5;30315.0;61.0;548.0;11.777655476059438;48.15630159603742;13.703907539900936;24.105668684645018;0.7705008255365988;1.4859658778205835
2012;69077;Dracé;8.0;991.0;346.0;973.0;21321.1;14.0;99.0;7.011070110701106;33.579335793357934;34.68634686346864;20.29520295202952;1.4760147601476017;2.952029520295203
2012;69078;Duerne;3.24189526184539;786.0;301.0;801.0;20226.8;19.0;131.0;11.324786324786324;36.11111111111111;21.36752136752137;25.213675213675213;1.0683760683760684;4.914529914529915
2012;69080;Échalas;5.88235294117647;1670.0;579.0;1564.0;22373.2;21.0;99.0;9.958932238193018;28.131416837782343;25.051334702258725;32.85420944558521;1.2320328542094456;2.772073921971253
2012;69081;Écully;11.8503144158097;17787.0;6743.0;16344.5;26553.3;647.0;10535.0;11.279129984464008;48.43086483687209;10.512687726566543;27.42620403935784;0.5903676851372346;1.7607457276022784
2012;69082;Émeringes;11.6666666666667;230.0;97.0;223.0;20748.0;2.0;12.0;9.8159509202454;48.466257668711656;19.018404907975462;18.404907975460123;0.6134969325153374;3.6809815950920246
2012;69083;Éveux;6.30425561288625;1243.0;433.0;1174.0;24963.3;10.0;87.0;12.97071129707113;31.93863319386332;12.412831241283124;37.517433751743376;1.6736401673640169;3.486750348675035
2012;69084;Fleurie;7.12001855974051;1266.0;548.0;1259.0;18999.3;33.0;93.0;10.09501187648456;36.69833729216152;24.94061757719715;23.75296912114014;2.375296912114014;2.137767220902613
2012;69085;Fleurieu-sur-Saône;7.58426966292136;1400.0;521.0;1412.0;27051.2;40.0;134.0;12.0;42.11764705882353;13.647058823529411;29.294117647058822;1.1764705882352942;1.7647058823529411
2012;69086;Fleurieux-sur-l'Arbresle;5.10909933330789;2337.0;875.0;2386.0;25292.9;51.0;314.0;12.898936170212766;33.31117021276596;15.35904255319149;35.1063829787234;0.9973404255319148;2.327127659574468
2012;69087;Fontaines-Saint-Martin;8.75262963918786;3091.0;1001.0;2769.5;29338.6;42.0;240.0;12.424409015942826;40.13194062671798;10.940076965365586;33.69983507421661;0.9345794392523364;1.8691588785046729
2012;69088;Fontaines-sur-Saône;8.44252168135331;6469.0;2883.0;6598.0;22132.0;153.0;749.0;10.725462304409673;35.049786628734;14.679943100995732;35.98862019914652;1.0810810810810811;2.4751066856330013
2012;69089;Francheville;7.67709402764628;14094.0;5234.0;13275.5;24918.7;264.0;2505.0;12.657894736842104;33.48684210526316;12.210526315789473;39.06578947368421;0.9605263157894736;1.618421052631579
